,/devices#IntGW-01/metrics/disk-device-read-latency,/devices#IntGW-01/metrics/disk-device-write-latency,/devices#IntGW-02/metrics/disk-device-read-latency,/devices#IntGW-02/metrics/disk-device-write-latency,/devices#RR-01/metrics/disk-device-read-latency,/devices#RR-01/metrics/disk-device-write-latency,/devices#TR-01/metrics/disk-device-read-latency,/devices#TR-01/metrics/disk-device-write-latency,/devices#TR-02/metrics/disk-device-read-latency,/devices#TR-02/metrics/disk-device-write-latency,/computes0/metrics/hardware-ipmi-temperature#03-cpu_2_(0x5)/hardware-ipmi-temperature,/devices#IntGW-01/metrics/cpu_util,/computes0/metrics/hardware/hardware-cpu-load-15min,/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/prefix-activity/sent/explicit-withdraw,/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/transport/foreign-port,/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/transport/local-port,/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/bgp-neighbor-counters/received/keepalives,/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/bgp-neighbor-counters/sent/keepalives,/devices/modules/openconfig-interfaces/interfaces/interface/state/counters/in-unicast-pkts,/devices/modules/openconfig-interfaces/interfaces/interface/state/counters/out-unicast-pkts,/devices/modules/ietf-interfaces/interfaces-state/interface/statistics/in-unicast-pkts,/devices/modules/ietf-interfaces/interfaces-state/interface/statistics/out-unicast-pkts,/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/statistics/in-unicast-pkts,/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/statistics/out-unicast-pkts,type,type_code,/devices/modules/openconfig-interfaces/interfaces/interface/subinterfaces/subinterface/state/counters/in-unicast-pkts,/devices/modules/openconfig-interfaces/interfaces/interface/subinterfaces/subinterface/state/counters/out-unicast-pkts,/time
0,0.0,0.0,15585759.0,0.0,5643616.0,287294424655.0,2805620.0,288924719120.0,4331170.0,286251067795.0,53.0,64.66923169202842,16.92,0,179,46410,565,536,232900221,413443767,232900221,413443767,232900221,413443767,ixnetwork-traffic-start,0,232900221,413443767,2020-06-29 01:53:00
1,10276791.0,287541679818.0,15585759.0,0.0,0.0,0.0,2805620.0,288924719120.0,4331170.0,286251576594.0,53.0,63.82755382739056,17.01,0,179,46410,566,537,232902425,413448186,232902425,413448186,232902425,413448186,ixnetwork-traffic-start,0,232902425,413448186,2020-06-29 01:54:00
2,0.0,0.0,15585759.0,0.0,0.0,0.0,0.0,0.0,4331170.0,286251576594.0,53.0,64.80721989500495,17.05,0,179,46410,567,539,232904581,413452607,232904581,413452607,232904581,413452607,ixnetwork-traffic-start,0,232904581,413452607,2020-06-29 01:55:00
3,0.0,0.0,15585759.0,0.0,5643616.0,287301237390.0,2805620.0,288931757266.0,0.0,0.0,54.0,64.15481645323304,17.28,0,179,46410,568,540,232906750,413457028,232906750,413457028,232906750,413457028,ixnetwork-traffic-start,0,232906750,413457028,2020-06-29 01:56:00
4,0.0,0.0,2303715404.0,268535137819.0,5643616.0,287301237390.0,0.0,0.0,0.0,0.0,54.0,64.05769717987808,17.24,0,179,46410,569,541,232908793,413461446,232908793,413461446,232908793,413461446,ixnetwork-traffic-start,0,232908793,413461446,2020-06-29 01:57:00
5,0.0,0.0,2303715404.0,268535494226.0,0.0,0.0,0.0,0.0,4331170.0,286255081176.0,54.0,64.72318371705039,17.255,0,179,46410,570,542,232910937,413465872,232910937,413465872,232910937,413465872,ixnetwork-traffic-start,0,232910937,413465872,2020-06-29 01:58:00
6,0.0,0.0,15585759.0,0.0,5643616.0,287301237390.0,2805620.0,288931757266.0,0.0,0.0,51.0,13.674265423643622,17.16,7831,179,43725,4353,4255,218317191,403240135,218317191,403240135,218317191,403240135,node-down,1,218317191,403240135,2020-06-29 01:59:00
7,0.0,0.0,15585759.0,0.0,5643616.0,287305241203.0,2805620.0,288937550454.0,4331170.0,286255924058.0,46.0,0.0,17.07,7831,179,43725,4354,4256,218319636,403244576,218319636,403244576,218319636,403244576,node-down,1,218319636,403244576,2020-06-29 02:00:00
8,10276791.0,287552256496.0,15585759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,17.07,7831,179,43725,4355,4257,218321868,403248996,218321868,403248996,218321868,403248996,node-down,1,218321868,403248996,2020-06-29 02:01:00
9,0.0,0.0,15585759.0,0.0,5643616.0,287305241203.0,2805620.0,288937550454.0,4331170.0,286261626610.0,40.0,0.0,16.79,7831,179,43725,4357,4257,218324019,403253417,218324019,403253417,218324019,403253417,node-down,1,218324019,403253417,2020-06-29 02:02:00
