,/devices#IntGW-01/metrics/disk-device-write-latency,/devices#IntGW-01/metrics/cpu,/devices#IntGW-02/metrics/cpu,type,type_code,/time
0,0.0,2.551501084e+16,2.365984598e+16,ixnetwork-traffic-start,0,2020-06-29 01:53:00
1,287541679818.0,2.551516424e+16,2.365999886e+16,ixnetwork-traffic-start,0,2020-06-29 01:54:00
2,0.0,2.551531948e+16,2.366015366e+16,ixnetwork-traffic-start,0,2020-06-29 01:55:00
3,0.0,2.551547307e+16,2.366030702e+16,ixnetwork-traffic-start,0,2020-06-29 01:56:00
4,0.0,2.551562714e+16,2.366045923e+16,ixnetwork-traffic-start,0,2020-06-29 01:57:00
5,0.0,2.551578265e+16,2.366061529e+16,ixnetwork-traffic-start,0,2020-06-29 01:58:00
6,0.0,2.551581537e+16,2.366076812e+16,node-down,1,2020-06-29 01:59:00
7,0.0,2.551581537e+16,2.366093232e+16,node-down,1,2020-06-29 02:00:00
8,287552256496.0,2.551581537e+16,2.366109644e+16,node-down,1,2020-06-29 02:01:00
9,0.0,2.551581537e+16,2.366126102e+16,node-down,1,2020-06-29 02:02:00
10,0.0,2.551581537e+16,2.366142352e+16,node-down,1,2020-06-29 02:03:00
11,0.0,2.551590524e+16,2.366158312e+16,node-up,2,2020-06-29 02:04:00
12,287552256496.0,2.551605815e+16,2.36617387e+16,node-up,2,2020-06-29 02:05:00
13,0.0,2.551621105e+16,2.366189366e+16,node-up,2,2020-06-29 02:06:00
14,0.0,2.551636172e+16,2.366204808e+16,node-up,2,2020-06-29 02:07:00
15,287552256496.0,2.551651319e+16,2.366220342e+16,node-up,2,2020-06-29 02:08:00
16,287560016542.0,2.551666238e+16,2.366229995e+16,node-down,1,2020-06-29 02:09:00
17,0.0,2.551681781e+16,2.366229995e+16,node-down,1,2020-06-29 02:10:00
18,0.0,2.551697603e+16,2.366229995e+16,node-down,1,2020-06-29 02:11:00
19,287560016542.0,2.551713412e+16,2.366229995e+16,node-down,1,2020-06-29 02:12:00
20,0.0,2.551729298e+16,2.366229995e+16,node-down,1,2020-06-29 02:13:00
21,0.0,2.551745097e+16,2.366232836e+16,node-up,2,2020-06-29 02:14:00
22,0.0,2.55176038e+16,2.366248453e+16,node-up,2,2020-06-29 02:15:00
23,0.0,2.551775749e+16,2.366263856e+16,node-up,2,2020-06-29 02:16:00
24,287568939854.0,2.551790908e+16,2.36627917e+16,node-up,2,2020-06-29 02:17:00
25,0.0,2.551806081e+16,2.366294556e+16,node-up,2,2020-06-29 02:18:00
26,0.0,2.55182122e+16,2.366309814e+16,node-down,1,2020-06-29 02:19:00
27,0.0,2.551836327e+16,2.366324743e+16,node-down,1,2020-06-29 02:20:00
28,0.0,2.551851456e+16,2.36634001e+16,node-down,1,2020-06-29 02:21:00
29,287583776212.0,2.55186663e+16,2.366355313e+16,node-down,1,2020-06-29 02:22:00
30,0.0,2.551881697e+16,2.366370584e+16,node-down,1,2020-06-29 02:23:00
31,0.0,2.551896831e+16,2.366385785e+16,node-down,1,2020-06-29 02:24:00
32,0.0,2.551911875e+16,2.366401018e+16,node-up,2,2020-06-29 02:25:00
33,0.0,2.551926961e+16,2.366416319e+16,node-up,2,2020-06-29 02:26:00
34,287590442491.0,2.55194207e+16,2.366431592e+16,node-up,2,2020-06-29 02:27:00
35,0.0,2.551957312e+16,2.366446951e+16,node-up,2,2020-06-29 02:28:00
36,0.0,2.551972636e+16,2.366462363e+16,node-up,2,2020-06-29 02:29:00
37,0.0,2.551986757e+16,2.366476464e+16,node-down,1,2020-06-29 02:30:00
38,287603002716.0,2.551999509e+16,2.366489047e+16,node-down,1,2020-06-29 02:31:00
39,0.0,2.552012162e+16,2.366501518e+16,node-down,1,2020-06-29 02:32:00
40,287610594964.0,2.552024852e+16,2.366513988e+16,node-down,1,2020-06-29 02:33:00
41,0.0,2.552037527e+16,2.366526545e+16,node-down,1,2020-06-29 02:34:00
42,0.0,2.552050817e+16,2.366539771e+16,node-up,2,2020-06-29 02:35:00
43,287611985342.0,2.55206597e+16,2.366555035e+16,node-up,2,2020-06-29 02:36:00
44,287611985342.0,2.552081233e+16,2.366570413e+16,node-up,2,2020-06-29 02:37:00
45,0.0,2.552096354e+16,2.366585631e+16,node-up,2,2020-06-29 02:38:00
46,0.0,2.552111625e+16,2.366601041e+16,node-up,2,2020-06-29 02:39:00
47,0.0,2.552126537e+16,2.366616048e+16,node-down,1,2020-06-29 02:40:00
